dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/long,ForecastMate,45.50584621531361,45.50584621531361,3.528843712375301,0.5650399350659511,0.1077524186536651,0.0814984533311549,5.166485213880093,6.745802118007436,0.119267168368934,0.0623906823575543,0.0500094042229498,Transport,1
loop_seattle/5T/medium,ForecastMate,23.12323927494517,23.12323927494517,2.754285994491341,0.4497994536934602,0.0750041086730327,0.0635105601673634,3.3499024854192543,4.808662940459143,0.085555994551761,0.0490044073490817,0.0384724435736285,Transport,1
loop_seattle/5T/short,ForecastMate,33.0599229432727,33.0599229432727,3.051224087143338,0.488000902844932,0.083331094462313,0.064391953309936,4.177757920900918,5.749775903743789,0.0985959627125209,0.0523217567710158,0.0415487928513611,Transport,1
loop_seattle/D/short,ForecastMate,17.91053780476006,17.91053780476006,2.870508643938661,0.8668488026702639,0.0534215409443228,0.0529318830207871,7.3523250556577455,4.232084333370504,0.075633001731705,0.0512998248938439,0.0418569134311393,Transport,1
loop_seattle/H/long,ForecastMate,44.19016772553319,44.19016772553319,3.600461557635664,0.7676770523752289,0.1123895567063002,0.0836930460735263,6.245903148942571,6.647568557415049,0.1188009288381897,0.0643450569330632,0.0515351433121127,Transport,1
loop_seattle/H/medium,ForecastMate,39.965229739099584,39.965229739099584,3.505817097603844,0.7385436367665511,0.1018770005311759,0.0801615435893229,5.823476024339864,6.321805892235191,0.1117372140052137,0.0619649261580846,0.049626030532579,Transport,1
loop_seattle/H/short,ForecastMate,36.757866576664426,36.757866576664426,3.318554129892413,0.6895793115161079,0.0951904157587061,0.0763944745570615,5.30895818384622,6.06282661608135,0.1073181985400873,0.0587417839120079,0.0466636311847471,Transport,1
m_dense/D/short,ForecastMate,6930.68962962963,6930.68962962963,39.78548611111111,0.6150854802440544,0.1107411875912134,0.088714228707803,6.180143369137777,83.25076353781766,0.1441193860850059,0.0688745615026363,0.0578214712563664,Transport,1
m_dense/H/long,ForecastMate,36285.14765432099,36285.14765432099,79.24003086419754,0.6824050246094079,0.2785772803531069,0.1920896288531202,7.312490134371322,190.48660754583503,0.3297605119413444,0.1371762218912856,0.1133079814813853,Transport,1
m_dense/H/medium,ForecastMate,39104.12222222222,39104.12222222222,84.59988064236111,0.7256923727109014,0.2579984592482667,0.1957087556986112,7.34931105269921,197.74762254505671,0.3440559012559794,0.1471931131506969,0.1226144385180394,Transport,1
m_dense/H/short,ForecastMate,46501.24458333333,46501.24458333333,87.8043332248264,0.7817140042933339,0.2992744847459861,0.2085579282312043,8.266027759341108,215.64147231767208,0.382494281650673,0.1557430256883568,0.128340564216378,Transport,1
sz_taxi/15T/long,ForecastMate,17.868805088141027,17.868805088141027,2.902801426727208,0.5539275057673886,6539293279244.253,0.4209112773727068,4.421170846822358,4.227150942199843,0.3912575512377461,0.2686781223288121,0.2134386394198409,Transport,1
sz_taxi/15T/medium,ForecastMate,16.233900908119658,16.233900908119658,2.736543730385283,0.5337761505127873,9924364124972.2,0.4023840180995966,3.9679377116537418,4.029131532739985,0.374977955948689,0.2546810810334234,0.2012908987333697,Transport,1
