dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Granite-PatchTST-FM-r2,4500465.041243406,4500465.041243406,374.07161285225,0.8660269566190761,4.20808964882223,0.8195823605864679,14.848995351028531,2121.429952000161,5.606305992097393,0.988559590492171,0.6729419532800617,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Granite-PatchTST-FM-r2,3054223.178539754,3054223.178539754,267.387630623953,0.9507911137851773,3.1096471185395482,0.8088718380327251,20.281983554670358,1747.6335939034113,5.309793842034944,0.8123975182648315,0.6276890840005269,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Granite-PatchTST-FM-r2,1925932.1471883315,1925932.1471883315,160.664585396128,0.6532385632300939,1.9853360552441979,0.7530051470494604,12.756128309149586,1387.7795744239543,4.357284697860254,0.5044470695032351,0.38130876980653705,Web/CloudOps,2
bitbrains_fast_storage/H/short,Granite-PatchTST-FM-r2,3777324.4335226933,3777324.4335226933,358.46857568825027,0.9671802293545889,4.237214070250399,0.5746434526244875,19.01384208874202,1943.5340062686564,5.539703099843478,1.0217518569429014,0.7085856219209618,Web/CloudOps,2
bitbrains_rnd/5T/long,Granite-PatchTST-FM-r2,2279991.098782246,2279991.098782246,159.39478137981732,3.257669131647283,1.1908660524133294,0.6913143628516643,114.59020428568239,1509.96393956354,5.784331914499567,0.6106055229414706,0.6157735417996588,Web/CloudOps,2
bitbrains_rnd/5T/medium,Granite-PatchTST-FM-r2,2384248.1878036535,2384248.1878036535,161.98323363992955,4.342619065550226,1.0185070715149078,0.7242313534868583,158.45442782164062,1544.1010937771055,6.49681957628058,0.6815459477247402,0.6691242131179532,Web/CloudOps,2
bitbrains_rnd/5T/short,Granite-PatchTST-FM-r2,1626104.6167555577,1626104.6167555577,115.18879110716477,1.6062055843542442,1.0960777974909102,0.6680447496732961,51.40061347621526,1275.188071131297,5.217701439980943,0.471319278180132,0.3814510132724508,Web/CloudOps,2
bitbrains_rnd/H/short,Granite-PatchTST-FM-r2,2276281.859426282,2276281.859426282,174.4467094326755,5.825665361978082,2.3417068291395906,0.5394940464694067,195.9446222767298,1508.7351853212285,6.602963636219231,0.7634641851325368,0.6560141512774299,Web/CloudOps,2
bizitobs_application/10S/long,Granite-PatchTST-FM-r2,4600018.488888889,4600018.488888889,1310.8543055555556,2.8738868547531617,0.04162200927734375,0.0423524898952908,31.37804886746964,2144.7653691928376,0.08271502741758076,0.05055441093087361,0.04371633347269741,Web/CloudOps,2
bizitobs_application/10S/medium,Granite-PatchTST-FM-r2,2437803.3066666666,2437803.3066666666,869.584375,2.0400946876824406,0.02924886703491211,0.029662946065266926,20.03005893528861,1561.3466324511885,0.06130948693864556,0.034146019066512115,0.028086456286981358,Web/CloudOps,2
bizitobs_application/10S/short,Granite-PatchTST-FM-r2,336478.7911111111,336478.7911111111,315.6694444444444,0.9142240674916201,0.013566048940022786,0.013584622277153863,6.562245571264848,580.0679193948853,0.0223709010533231,0.01217410870539242,0.00957022972694323,Web/CloudOps,2
bizitobs_l2c/5T/long,Granite-PatchTST-FM-r2,106.58696428571429,106.58696428571429,6.610995783730159,0.6612925358289834,0.5995609227972626,0.810373031374008,4.176755900922679,10.324096293899737,0.5796825723507847,0.3711975297999974,0.2833265972452429,Web/CloudOps,7
bizitobs_l2c/5T/medium,Granite-PatchTST-FM-r2,67.26922831632653,67.26922831632653,5.250957629145408,0.5317064710711766,0.4053603783634436,0.676061098267432,3.579443231403242,8.201782020776127,0.4315343467207977,0.27627758996909135,0.21085264359171324,Web/CloudOps,7
bizitobs_l2c/5T/short,Granite-PatchTST-FM-r2,18.253648158482143,18.253648158482143,2.4141024634951638,0.2485115210429885,0.1344725391289945,0.19760851178850447,2.8944121990602287,4.27242883597634,0.14673249971425512,0.08291005014575938,0.06747738984454804,Web/CloudOps,7
bizitobs_l2c/H/long,Granite-PatchTST-FM-r2,75.8522445436508,75.8522445436508,4.9565813337053575,0.532667382009074,0.5893562304992199,0.7664477151537699,4.0958770804519995,8.709319407603031,0.531990366060146,0.3027622934374055,0.24376752950719233,Web/CloudOps,7
bizitobs_l2c/H/medium,Granite-PatchTST-FM-r2,70.13228236607142,70.13228236607142,4.691678873697916,0.4797883054634883,0.48608296590993744,0.7537821451822917,3.3602463749249556,8.374501917491656,0.5070888112420736,0.2840882820533903,0.225222704866328,Web/CloudOps,7
bizitobs_l2c/H/short,Granite-PatchTST-FM-r2,56.97437298487103,56.97437298487103,4.53302001953125,0.4473193128387268,0.39023624850119903,0.6034069969540551,2.9723163762575666,7.5481370539273485,0.40686391831977375,0.24434138831764426,0.19054426129011212,Web/CloudOps,7
bizitobs_service/10S/long,Granite-PatchTST-FM-r2,126955.50645502645,126955.50645502645,72.20369708994708,1.2101684908034998,0.07673929527323083,0.07278806656125993,10.805578287346167,356.3081622065743,0.2639644774482617,0.05349080709840891,0.04772899878462054,Web/CloudOps,2
bizitobs_service/10S/medium,Granite-PatchTST-FM-r2,5377.154285714286,5377.154285714286,27.38843005952381,0.9234924971374158,0.061052013578869045,0.05331542484343998,7.603457508089228,73.32908212785897,0.05518919521729365,0.0206131778741574,0.016267025789755883,Web/CloudOps,2
bizitobs_service/10S/short,Granite-PatchTST-FM-r2,1980.2725925925927,1980.2725925925927,17.857534722222223,0.6651107218781328,0.056391033192791006,0.045528551535631616,4.765540632410153,44.50025384863094,0.0329672106884228,0.013229432613257725,0.010293765002003609,Web/CloudOps,2
car_parts/M/short,Granite-PatchTST-FM-r2,1.432987627191849,1.432987627191849,0.4711223879515515,0.8495039307860252,0.8493422115416075,1.9110674229025508,21.136014239033333,1.1970746122075469,2.8704621236337067,1.1297031583661448,1.0287420163580334,Sales,1
