dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,TIMEHEDGE,3708248.316407471,3708248.316407471,369.336145722043,0.8574279431599289,4.717588972134942,0.8167255252903138,14.806903303487399,1925.6812603355393,5.089000704073272,0.9760451764959711,0.67060243699093,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TIMEHEDGE,2836841.4972403483,2836841.4972403483,286.7341333938877,0.941029089867399,4.279580201521886,0.8029768162567106,20.265085487493618,1684.2925806522892,5.11734607211458,0.8711774950027562,0.6285732353163562,Web/CloudOps,2
bitbrains_fast_storage/5T/short,TIMEHEDGE,1688509.5992381147,1688509.5992381147,154.5145754311191,0.6536476820113717,2.003344512266093,0.7182720651868149,12.778412551770755,1299.4266424997274,4.079878288378374,0.485137552918504,0.3778420363062068,Web/CloudOps,2
bitbrains_fast_storage/H/short,TIMEHEDGE,3174735.6916775913,3174735.6916775913,338.68094148694615,0.9747602115922007,4.054945772335419,0.5735131982577929,19.00480825650464,1781.7787998732028,5.078648198997786,0.9653506673443176,0.7017826682743679,Web/CloudOps,2
bitbrains_rnd/5T/long,TIMEHEDGE,2423238.012798669,2423238.012798669,185.3716001755116,3.2724781181421454,1.995170928389753,0.7016143490151692,114.69639512871356,1556.6753074416863,5.96327238836785,0.71011683658739,0.624111097229943,Web/CloudOps,2
bitbrains_rnd/5T/medium,TIMEHEDGE,2383603.92175415,2383603.92175415,167.60160218502983,4.348231846013929,1.2508331475254932,0.7101138222122251,158.5790223743065,1543.892457962714,6.495942901955137,0.7051854113639607,0.6447787906529983,Web/CloudOps,2
bitbrains_rnd/5T/short,TIMEHEDGE,1548390.0118272703,1548390.0118272703,114.3399961226961,1.60306845941196,1.0586648661990594,0.6399349970832645,51.429737765698725,1244.343204999035,5.09149316781146,0.46784625554068704,0.37608829548159306,Web/CloudOps,2
bitbrains_rnd/H/short,TIMEHEDGE,1854150.506116534,1854150.506116534,150.33313530966285,5.819406310386198,1.3682595409189928,0.547068784865042,196.66933598252322,1361.6719524601122,5.959342669756697,0.6579313514614118,0.6130785867360973,Web/CloudOps,2
bizitobs_application/10S/long,TIMEHEDGE,5385513.528888889,5385513.528888889,1417.4054166666667,3.0503161502106306,0.04412885877821181,0.045022091335720486,49.633617018936576,2320.670922144906,0.08949900148035239,0.05466366138946624,0.049030434840909284,Web/CloudOps,2
bizitobs_application/10S/medium,TIMEHEDGE,3090731.3066666666,3090731.3066666666,977.2439583333334,2.1488884048414776,0.030791486104329427,0.031350253423055016,17.37940294758996,1758.0475837322113,0.06903335436996051,0.0383734940429257,0.031915289226676156,Web/CloudOps,2
bizitobs_application/10S/short,TIMEHEDGE,340088.14222222223,340088.14222222223,311.6300694444444,0.9470487907230538,0.013520336151123047,0.013608529832628039,5.481843326439669,583.1707659187164,0.02249056544131526,0.01201832615748573,0.009469538416084018,Web/CloudOps,2
bizitobs_l2c/5T/long,TIMEHEDGE,64.92910714285715,64.92910714285715,4.829095052083333,0.47168147002733657,0.366953347113546,0.6912215556795634,2.789806782043856,8.057859960489333,0.45243679025919514,0.2711464676644074,0.20699997906922196,Web/CloudOps,7
bizitobs_l2c/5T/medium,TIMEHEDGE,58.99357461734694,58.99357461734694,4.691708187181122,0.4634802935238713,0.32797929170446416,0.6033017943505528,2.782837865565328,7.680727479695327,0.4041192154210841,0.24685284520256423,0.19076449877513244,Web/CloudOps,7
bizitobs_l2c/5T/short,TIMEHEDGE,17.05098586309524,17.05098586309524,2.389306640625,0.24686361669908774,0.13509875869869042,0.1946588425409226,2.134958955823099,4.129283940720866,0.14181632460437266,0.08205846122248137,0.06567419684081893,Web/CloudOps,7
bizitobs_l2c/H/long,TIMEHEDGE,75.96039186507936,75.96039186507936,5.004394918774802,0.537068355787012,0.5958627114615834,0.7618038116939484,5.086517208426166,8.715525908691877,0.532369477059718,0.3056828852119518,0.24863181486429317,Web/CloudOps,7
bizitobs_l2c/H/medium,TIMEHEDGE,67.8355236235119,67.8355236235119,4.642516508556548,0.47135139861651637,0.48752443346183455,0.7502264113653274,3.456649789249049,8.236232368231963,0.49871638001501434,0.2811114261707359,0.22286102671041835,Web/CloudOps,7
bizitobs_l2c/H/short,TIMEHEDGE,45.829520089285715,45.829520089285715,4.071182493179563,0.40199413396303696,0.3766715875346598,0.581938970656622,2.4869954284440756,6.769750371268184,0.3649068826416977,0.2194471628609416,0.17014570762344952,Web/CloudOps,7
bizitobs_service/10S/long,TIMEHEDGE,129574.53544973546,129574.53544973546,73.7630291005291,1.2545880257919741,0.07446453760540675,0.07159901775380291,16.949816940888695,359.96463083160745,0.26667330630005,0.05464601010243942,0.05013263262676134,Web/CloudOps,2
bizitobs_service/10S/medium,TIMEHEDGE,11341.570793650793,11341.570793650793,32.53670882936508,0.948922820964805,0.05951386466858879,0.05245315309554811,8.263985929762919,106.49681119005767,0.08015200971067934,0.024487893796094087,0.018759835972155334,Web/CloudOps,2
bizitobs_service/10S/short,TIMEHEDGE,2025.8568783068783,2025.8568783068783,17.307911292989417,0.6689193077923365,0.049614164564344615,0.0399715072389633,4.690755888024276,45.00951986310094,0.03334449221303196,0.012822254382812525,0.009980987708278046,Web/CloudOps,2
car_parts/M/short,TIMEHEDGE,1.3633044696319812,1.3633044696319812,0.4559844244962925,0.8372247291149422,0.8236631621082066,1.8913100906398423,14.369472983140824,1.1676062990717295,2.7998001316065335,1.09340387485938,0.9411470787933892,Sales,1
covid_deaths/D/short,TIMEHEDGE,262831.67117794487,262831.67117794487,87.46013471177945,32.686088941643604,0.08391125254106267,0.36002922344924815,555.666876777207,512.6711140467589,0.19289500160465325,0.03290730131527008,0.026996853043438778,Healthcare,1
electricity/15T/long,TIMEHEDGE,298547.42262162163,298547.42262162163,55.84808201951952,0.8453432991001736,0.12409300268782107,0.12785267176356044,6.877502666329425,546.3949328293791,0.8620050140847477,0.08810719835660519,0.07010433766426447,Energy,1
electricity/15T/medium,TIMEHEDGE,233070.0317072072,233070.0317072072,50.682232967342344,0.7980098527943404,0.11848103031675862,0.12577076569978182,6.8615051818419674,482.7732715335504,0.8318669782412976,0.08733059279594887,0.07016782115979127,Energy,1
electricity/15T/short,TIMEHEDGE,128681.13666385136,128681.13666385136,48.91579119158221,0.9583201019985196,0.15578750976197095,0.16034776739172033,10.555187256655293,358.7215308060716,0.707110849257755,0.09642266683538937,0.08077450573404045,Energy,1
