dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/H/short,TimeTron-v2-33M,3189831.0076515093,3189831.0076515093,336.4742050741588,1.166380663555333,4.324445060044518,0.6063532365354214,19.936113829448857,1786.0098005474408,5.090707955987181,0.9590607578023668,0.6832619544848516,Web/CloudOps,2
solar/H/short,TimeTron-v2-33M,735.1190453323089,735.1190453323089,11.909288361185812,0.917716481731851,5.787753402215246,1.4176168423453708,7.109408682997376,27.113078861175264,0.9993971446194256,0.4389803475864836,0.341090753933536,Energy,1
solar/H/medium,TimeTron-v2-33M,776.3046836982968,776.3046836982968,13.254836716849148,1.0129880353501837,6.741881029693307,1.417995480725365,9.268599022927534,27.86224477134419,1.003663087461372,0.4774701554812074,0.3821553366897545,Energy,1
solar/H/long,TimeTron-v2-33M,685.0357664233577,685.0357664233577,13.762947333738849,1.0480795370654432,7.43866723652702,1.4178152562347932,8.286784708555352,26.173187930081383,0.9074721248154772,0.4771864663194915,0.3778652826631746,Energy,1
m_dense/D/short,TimeTron-v2-33M,10296.266666666666,10296.266666666666,52.76764467592593,0.7695067169128392,0.1367499801828032,0.1104327053493923,8.126480407768868,101.470521170765,0.1756604816028285,0.0913485982911326,0.0751790303750873,Transport,1
ett2/H/short,TimeTron-v2-33M,112.21834077380952,112.21834077380952,6.641959635416667,0.7655689452719162,0.1244159402248844,0.1146235602242606,5.397166436430102,10.593315853584729,0.1343527199009428,0.0842385287878046,0.0668131231304765,Energy,7
ett2/H/medium,TimeTron-v2-33M,255.79183407738097,255.79183407738097,9.802804129464286,1.0575185100318665,0.177425921209532,0.1719317481631324,11.294579492534332,15.99349349196044,0.2155226098349617,0.1320990895919707,0.10930294497295,Energy,7
ett2/H/long,TimeTron-v2-33M,271.2439153439153,271.2439153439153,10.15698371362434,1.1009622187511443,0.189720385805821,0.1820582637080439,17.48313352304711,16.469484367882174,0.2255369125668256,0.1390920745660805,0.1212297726856024,Energy,7
ett2/D/short,TimeTron-v2-33M,110018.89523809524,110018.89523809524,195.96488095238095,1.2583994408667627,0.4202055915953621,0.1300361996605282,13.125234001646534,331.69096345558654,0.189835489756511,0.1121558717280305,0.0920413083828295,Energy,7
electricity/15T/short,TimeTron-v2-33M,163404.54274774774,163404.54274774774,61.09176625844594,1.1563833098585172,0.1976136309719763,0.1908547231313344,11.367411721119591,404.2332776352632,0.7968234703250702,0.1204239133480395,0.0980929782651497,Energy,1
electricity/15T/medium,TimeTron-v2-33M,294249.6370810811,294249.6370810811,63.85813302364865,1.0237698293784556,0.1838346271745877,0.1658999177400056,10.073302640228205,542.4478196850653,0.9346922168820936,0.1100339936041762,0.0895795279448294,Energy,1
electricity/15T/long,TimeTron-v2-33M,518713.4781621622,518713.4781621622,77.11960810810811,1.1372180626950643,0.1931326749260538,0.1741450187980949,11.51863970330012,720.2176602681735,1.1362316249577773,0.1216656331422852,0.0994076143807144,Energy,1
bitbrains_rnd/H/short,TimeTron-v2-33M,1845780.2303397127,1845780.2303397127,171.3636513788841,5.940762081040158,2.1772018881073696,0.6309933032146434,195.4189426963251,1358.5949471198958,5.945876466236105,0.749971214056103,0.6671548054565138,Web/CloudOps,2
loop_seattle/H/short,TimeTron-v2-33M,71.8999774251806,71.8999774251806,5.065310448322334,1.0202959899270712,0.1553998838054525,0.1146176434386839,8.490333468866238,8.479385439121199,0.1500937450734167,0.0896611459175514,0.0722768270242959,Transport,1
loop_seattle/H/medium,TimeTron-v2-33M,82.6188338493292,82.6188338493292,5.770919198271414,1.1690365541956669,0.1679346358197884,0.1272861035861713,11.607466021262942,9.089490296453878,0.1606557053905448,0.1020003393272599,0.0839629793878984,Transport,1
loop_seattle/H/long,TimeTron-v2-33M,90.46640866873064,90.46640866873064,5.808141447368421,1.1930645398856634,0.2005953772682318,0.1298614806394049,12.928726191176958,9.511383110185957,0.1699811501104736,0.1037992636602662,0.0858583924994431,Transport,1
