dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TimesFM-3,41.26919927291949,41.26919927291949,3.4693421040034025,0.5483982660892082,0.0872315105885052,0.07428505797135203,4.069759760448714,6.42411077682503,0.1101593164555722,0.05949155735394018,0.04689477081727123,Transport,1
loop_seattle/5T/medium,TimesFM-3,60.373741554598816,60.373741554598816,4.410223616687629,0.7036179184040745,0.13410360275284303,0.10107457703235102,5.180907794315977,7.770054153903872,0.13824522970246209,0.07846694049382905,0.06183185273450366,Transport,1
loop_seattle/5T/long,TimesFM-3,71.78911807705538,71.78911807705538,4.718619735677532,0.7503941787382133,0.13989356304387845,0.10713871519659353,5.924039858942141,8.47284592548781,0.14980165805662393,0.08342616711781013,0.06635285068111146,Transport,1
loop_seattle/D/short,TimesFM-3,17.97023433216831,17.97023433216831,2.836119424447925,0.8576733882346694,0.052466769238128506,0.05239256365749489,7.199797089379018,4.2391313181085,0.07575893858162519,0.05068524213181856,0.04115013433990496,Transport,1
loop_seattle/H/short,TimesFM-3,33.99382735031664,33.99382735031664,3.1102117031131185,0.6425235968897001,0.09257618083770489,0.07276109667255828,5.2547647297791436,5.830422570476058,0.10320440843556944,0.055053909909477707,0.04409812958821329,Transport,1
loop_seattle/H/medium,TimesFM-3,37.158333018394444,37.158333018394444,3.2544890192147995,0.6801830045979114,0.0983919291304361,0.07534494267159571,5.62485148311194,6.095763530386858,0.1077419389371662,0.05752272958620915,0.04614407293965944,Transport,1
loop_seattle/H/long,TimesFM-3,42.8447577960392,42.8447577960392,3.4505188765130503,0.7324792019470878,0.109610706528807,0.08101684306551182,6.476197299597678,6.545590714063873,0.11697845081978615,0.06166538213757721,0.04978685265052924,Transport,1
m_dense/D/short,TimesFM-3,7084.735925925926,7084.735925925926,40.821359953703706,0.6198999604924257,0.11389942607497887,0.09008082071940104,7.01096398313557,84.17087338222127,0.14571222648863624,0.07066780951811535,0.05857158918950848,Transport,1
m_dense/H/short,TimesFM-3,34027.879166666666,34027.879166666666,77.5497545030382,0.6907841460660521,0.24667320945723253,0.19122183998082212,5.960598114853496,184.4664716599379,0.3271975861131349,0.1375539535652701,0.11032951666888965,Transport,1
m_dense/H/medium,TimesFM-3,26388.4,26388.4,68.97299696180555,0.6010894648615694,0.2180726888179613,0.17381707066311916,5.923502639205188,162.44506763826348,0.2826339034741616,0.1200043045261093,0.09775122630307115,Transport,1
