dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.24408692791981,44.24408692791981,3.7410070822826973,0.5934177626553161,0.10333592953204616,0.0790137582765152,4.834083147652098,6.651622879261858,0.11406064670352252,0.06415001194039043,0.05139483459546802,Transport,1
loop_seattle/5T/medium,TinyCast,98.20614629692338,98.20614629692338,5.956920582994711,0.9436984543863005,0.20160873373718577,0.132715571219461,9.629173740418173,9.909901427205186,0.17631750976206734,0.10598585775643184,0.08725979064788297,Transport,1
loop_seattle/5T/long,TinyCast,113.45040647216489,113.45040647216489,6.401010942068713,1.0107825740241352,0.21699007191552494,0.14103020212133877,12.857768236014797,10.65131008243422,0.1883173522634331,0.1131711895617032,0.09563315974138765,Transport,1
loop_seattle/D/short,TinyCast,18.663410946557644,18.663410946557644,2.926714380065477,0.883553479359932,0.054177088301986365,0.05405887580631441,7.380008644327176,4.32011700611889,0.07720626099359222,0.0523042949903881,0.042698347325786395,Transport,1
loop_seattle/H/short,TinyCast,63.06633140725992,63.06633140725992,4.349558852172275,0.8845625595564358,0.11818351171152795,0.09950442329946693,6.687267308602856,7.941431319810046,0.1405714099768551,0.07699161473599359,0.06068601926596376,Transport,1
loop_seattle/H/medium,TinyCast,72.35113097073739,72.35113097073739,4.853164616162563,1.0019077460097932,0.13148091333938458,0.10949005741083954,8.615747092001905,8.505946800370749,0.15034165879301567,0.08577914204185315,0.06962011250734562,Transport,1
loop_seattle/H/long,TinyCast,65.8910875654401,65.8910875654401,4.646866349678578,0.9738467480194081,0.14407944582482157,0.10641190073192427,10.483142999498524,8.11733254003063,0.14506757706093826,0.08304570977590309,0.06843967546853323,Transport,1
m_dense/D/short,TinyCast,10480.7,10480.7,53.51029947916667,0.7748143251363052,0.1382961343888268,0.11246461091218171,7.494234233556761,102.37528998737928,0.17722676315524236,0.09263423989645812,0.07786557125473008,Transport,1
m_dense/H/short,TinyCast,51430.0996875,51430.0996875,102.29150770399306,0.8921151875559064,0.3215289556467253,0.24313662423027887,7.9984136474443925,226.78205327472455,0.4022548907535992,0.18143966271724662,0.1437088438495966,Transport,1
m_dense/H/medium,TinyCast,42422.50555555556,42422.50555555556,98.20399739583333,0.8434814150427642,0.3026363512886733,0.23359158833821614,8.648207997321895,205.96724388978836,0.3583569939963727,0.17086255387302987,0.1376271248660661,Transport,1
m_dense/H/long,TinyCast,45079.36987654321,45079.36987654321,103.38788966049383,0.8902011815198739,0.3177976149730835,0.24438393675250772,9.89889499669728,212.31902853146067,0.36755564448629796,0.1789797300745008,0.1456864229304492,Transport,1
sz_taxi/15T/short,TinyCast,17.307643725030733,17.307643725030733,2.8093365743774488,0.56131924208872,1298855927179.874,0.41046200974665864,4.0379503080516095,4.160245632775874,0.3890007772564103,0.2626849968660404,0.206862466845479,Transport,1
sz_taxi/15T/medium,TinyCast,17.176065872061965,17.176065872061965,2.8675911667000533,0.5599120350379014,11519178918165.262,0.4170552441197583,5.753307664775564,4.144401750803361,0.38570572924704843,0.26687720173847523,0.22147479893996128,Transport,1
sz_taxi/15T/long,TinyCast,16.577307302795585,16.577307302795585,2.84828851161859,0.537775482581525,8185874683847.322,0.41623861198751333,7.003358529588487,4.0715239533613925,0.376852965628887,0.2636324837740379,0.22561013457503432,Transport,1
sz_taxi/H/short,TinyCast,7.586486685989249,7.586486685989249,1.9103956956129808,0.5823192162139363,1.3190546361809103,0.3059674409719614,4.111199385015859,2.754357762889427,0.2565854224458191,0.17796514788380788,0.13980384104042456,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1900821.8495638215,1900821.8495638215,180.9161150882152,0.8707491108197133,2.5999596170141994,0.6328290414944234,14.628815830083955,1378.7029591481341,4.328786309811298,0.5680318570593322,0.4382953022346899,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3698363.988009589,3698363.988009589,306.51702595059857,1.0739030132087344,5.425270140752215,0.7169551569543965,25.616906164417372,1923.1130980807106,5.842948631816825,0.9312833650782235,0.7348087900238709,Web/CloudOps,2
