dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,tafsut,5975721.72976563,5975721.72976563,412.5394610428053,0.8870208760792462,6.869518677501955,0.7690487475839546,16.252108236022604,2444.5289382139927,6.46015921031572,1.090218469993446,0.7814473186385199,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,tafsut,4679274.724159058,4679274.724159058,316.777693134932,0.9688977910888567,6.430132874130268,0.743791310968946,21.308416290653813,2163.1631293453247,6.572286039411408,0.9624579773684302,0.7184900733458928,Web/CloudOps,2
bitbrains_fast_storage/5T/short,tafsut,2060365.6612097814,2060365.6612097814,163.99488173046257,0.6832898364547655,2.4986646109475115,0.6780002797348059,13.928155377318644,1435.3973879068408,4.506792999707539,0.5149033927451193,0.4108318027032061,Web/CloudOps,2
bitbrains_fast_storage/H/short,tafsut,2572213.456442948,2572213.456442948,252.55531278650318,0.9475766538081591,2.227297977243011,0.5252740470035802,20.84357064303423,1603.8121637033896,4.571386022889811,0.7198647404025452,0.583826179163808,Web/CloudOps,2
bitbrains_rnd/5T/long,tafsut,3239945.8731416003,3239945.8731416003,214.23296312547367,3.303981180493203,3.7862578940466096,0.6613575839507312,120.99072349324217,1799.9849646987611,6.89533476106452,0.8206779648585298,0.7021255014167089,Web/CloudOps,2
bitbrains_rnd/5T/medium,tafsut,3799763.361678593,3799763.361678593,230.26749597964724,4.392533075505986,3.4854588354506704,0.6763482601616079,159.90901527050102,1949.2981715680628,8.201690600996471,0.9688526799222531,0.7956059971701944,Web/CloudOps,2
bitbrains_rnd/5T/short,tafsut,1677648.7740595648,1677648.7740595648,114.60156168877141,1.6449278028904628,1.3317009837534788,0.6192400703214991,52.63194087119957,1295.2408170141816,5.299750674492436,0.4689164330522351,0.3996998521531399,Web/CloudOps,2
bitbrains_rnd/H/short,tafsut,1962563.2817015473,1962563.2817015473,152.5454264524104,5.858398043065061,1.2452585782503816,0.5047434775208085,194.85319011502764,1400.915158637934,6.131090711810472,0.6676134821475374,0.6123081622188462,Web/CloudOps,2
bizitobs_application/10S/long,tafsut,6145920.568888889,6145920.568888889,1516.922361111111,3.139976786483203,0.045460832383897566,0.046589541965060766,38.899937957584825,2479.096724391545,0.09560885142697599,0.05850163215609324,0.05181639942735763,Web/CloudOps,2
bizitobs_application/10S/medium,tafsut,4220577.706666667,4220577.706666667,1134.7034375,2.2718759940412285,0.03262472152709961,0.03349233627319336,15.280127996995791,2054.404465208024,0.08067041687509714,0.0445564643588632,0.03687048065541554,Web/CloudOps,2
bizitobs_application/10S/short,tafsut,397967.8222222222,397967.8222222222,323.3852430555556,1.0060293721318811,0.014407325320773655,0.014495249854193794,6.272693551299395,630.8469087046573,0.02432924370158002,0.012471676216894514,0.01007593641278497,Web/CloudOps,2
bizitobs_l2c/5T/long,tafsut,69.97877976190476,69.97877976190476,5.083918030753968,0.5062685772483914,0.4111871123823781,0.721841052827381,2.8414198334852805,8.365332017433902,0.4697008865850818,0.2854543969557261,0.2304107755257544,Web/CloudOps,7
bizitobs_l2c/5T/medium,tafsut,79.80154655612245,79.80154655612245,5.409602532419218,0.5267282098269113,0.3723091752855573,0.6382704546662415,3.4816080252435357,8.93317113661898,0.47001616975687016,0.28462464485563044,0.23034131146882,Web/CloudOps,7
bizitobs_l2c/5T/short,tafsut,20.496795944940477,20.496795944940477,2.742529296875,0.28336555161447796,0.15392664038924675,0.20982230050223213,1.9043136007047594,4.527338726552331,0.15548713715400428,0.0941895569755198,0.074679481813577,Web/CloudOps,7
bizitobs_l2c/H/long,tafsut,83.98685515873017,83.98685515873017,5.518617466517857,0.6003527565807397,0.6628708068244604,0.7982062445746527,4.847119084433746,9.164434251972686,0.5597900942965749,0.33709308256576526,0.27275761770772355,Web/CloudOps,7
bizitobs_l2c/H/medium,tafsut,77.39204799107142,77.39204799107142,4.91595458984375,0.4966443801161558,0.47109276063393923,0.77367677234468,3.7399738827372673,8.79727503213759,0.53268836548937,0.2976685173212711,0.2423084234751483,Web/CloudOps,7
bizitobs_l2c/H/short,tafsut,53.66543433779762,53.66543433779762,4.354856945219494,0.4362731806853571,0.37843538645645985,0.6096163552904886,3.0330959529353163,7.325669548771472,0.39487235004274446,0.23473794232872147,0.18641518017473127,Web/CloudOps,7
bizitobs_service/10S/long,tafsut,128550.42708994709,128550.42708994709,77.63885582010582,1.379929733098159,0.08803075396825397,0.09067286577174273,16.448130224365073,358.53929643756913,0.26561737301415117,0.05751734644336763,0.0522156528644292,Web/CloudOps,2
bizitobs_service/10S/medium,tafsut,11095.263492063492,11095.263492063492,34.24184771825397,1.0391894335063887,0.06950285412016369,0.06601654052734375,8.482684814898477,105.3340566581554,0.07927689324953156,0.025771221505656892,0.020653247525865247,Web/CloudOps,2
bizitobs_service/10S/short,tafsut,2082.8171428571427,2082.8171428571427,18.540370370370372,0.7644713184908388,0.057826334635416664,0.050230774248718586,5.721579120273396,45.63789152510382,0.03381000904851627,0.013735299091112846,0.01090277366951662,Web/CloudOps,2
car_parts/M/short,tafsut,1.398431661643085,1.398431661643085,0.4518409182671549,0.8273814647389611,0.8454296991848639,1.903965137642705,16.31451697566282,1.1825530269899465,2.8356408519124967,1.0834681719645987,0.9561755671041635,Sales,1
covid_deaths/D/short,tafsut,292757.1408521303,292757.1408521303,91.07141290726817,31.738873250090162,0.08429188372750793,0.11970510824852044,487.6726634652674,541.0703658972004,0.20358035832003518,0.034266062310823485,0.029453109095707215,Healthcare,1
electricity/15T/long,tafsut,350774.33042642643,350774.33042642643,60.39703303303303,0.8951846642078822,0.1325843669105812,0.12978366832279434,7.587049936475695,592.2620454042504,0.9343658901524494,0.09528371431256974,0.0772145790561378,Energy,1
electricity/15T/medium,tafsut,276655.77744144143,276655.77744144143,54.82516666666667,0.8460576073920597,0.12862756210230927,0.12794889234699638,7.644252139601864,525.9807766843209,0.9063179280038106,0.09446929176580705,0.07670226008150195,Energy,1
electricity/15T/short,tafsut,153922.35243243244,153922.35243243244,55.29738738738739,1.0492342882272163,0.17085877685792822,0.1666773409270551,13.426791237348052,392.3293927714726,0.773358553958829,0.10900204862428202,0.09111646536727491,Energy,1
electricity/D/short,tafsut,1182081376.4774053,1182081376.4774053,4135.166846846847,1.3746154883083974,0.27926093973424376,0.0907799570763438,11.41909381933276,34381.410332873274,0.5650007741706632,0.06795452679727454,0.05390254470551607,Energy,1
electricity/H/long,tafsut,5027377.951519519,5027377.951519519,239.06887687687689,1.1057893907060612,0.27824094785059633,0.13409263547112554,9.339967953475012,2242.1815161845216,0.8843158273522342,0.09428870505065144,0.07519682605130386,Energy,1
electricity/H/medium,tafsut,4425451.981261261,4425451.981261261,227.52959459459458,1.0468179305918734,0.22252763706846837,0.12540207769508344,8.92640089797172,2103.675826086629,0.8211340216870958,0.08881230118513528,0.07128589014605499,Energy,1
electricity/H/short,tafsut,1322329.4846846848,1322329.4846846848,164.28699324324324,0.9216090013170943,0.16180265674364777,0.12064795003442594,10.644895940738486,1149.9258605165312,0.5428470705561901,0.07755518514256173,0.06444099177860968,Energy,1
electricity/W/short,tafsut,36162680724.98739,36162680724.98739,25512.836036036035,1.4115336502687192,0.15448460225386387,0.08748514370112777,11.251250852256051,190164.87773768159,0.43389351065245274,0.05821187448528812,0.047246026063657215,Energy,1
ett1/15T/long,tafsut,11.69665054563492,11.69665054563492,1.6882758246527778,1.044288266099373,0.8351174041730451,0.38947358630952383,9.053592162851196,3.420036629282634,0.6518623630772785,0.321787041449097,0.26127858558129385,Energy,7
ett1/15T/medium,tafsut,11.631432291666666,11.631432291666666,1.694705326140873,1.0330845966287963,0.8241733962156306,0.3887439158606151,8.18313203507898,3.4104885708160153,0.6500424936929686,0.3230125107898501,0.2609799873415788,Energy,7
ett1/15T/short,tafsut,5.344544619605655,5.344544619605655,1.1126463390531993,0.6897645627704966,0.46104808305259826,0.24920636131649926,5.038558172614651,2.3118271171533684,0.43703155530793686,0.2103364721592384,0.16435612203698616,Energy,7
ett1/D/short,tafsut,43192.374603174605,43192.374603174605,138.95902777777778,1.6824813903802611,1.5212952628968255,0.461480470687624,10.66485487887289,207.827752244917,0.545866484988246,0.3649804957763757,0.27746353747442093,Energy,7
ett1/H/long,tafsut,162.99383267195768,162.99383267195768,7.868398127480159,1.483486637007993,4145893949670.822,0.49941709811094576,9.18180342616365,12.766903801312113,0.6113793718509377,0.37680054455783624,0.2850919473602165,Energy,7
ett1/H/medium,tafsut,143.8849795386905,143.8849795386905,7.253388323102679,1.3346408032152193,3008338717773.644,0.45569312686011904,8.279222445180705,11.995206523386353,0.5745419579334349,0.34742010658024425,0.2654369752151437,Energy,7
ett1/H/short,tafsut,95.767578125,95.767578125,4.936758277529762,0.8194966329979899,0.45471067882719496,0.26723291306268604,5.730896837369441,9.786091054399606,0.4567569060655897,0.23041870592696279,0.17970239435370491,Energy,7
ett1/W/short,tafsut,1516144.5714285714,1516144.5714285714,944.9515206473214,1.612373645314427,0.6963025501796177,0.5568592888968331,8.870646447061205,1231.3182250858513,0.48997091055591774,0.37601876393122136,0.2768368581065282,Energy,7
ett2/15T/long,tafsut,11.34201884920635,11.34201884920635,2.1222225322420636,0.8770121688781024,0.13073118136764647,0.158364742218502,6.766879658210563,3.3677913903931684,0.1794756993385677,0.11309708024455284,0.0911533196175899,Energy,7
ett2/15T/medium,tafsut,11.596649305555555,11.596649305555555,2.124278583829365,0.8784762504683562,0.13146757392896372,0.15861171177455358,6.37550451828468,3.4053853387767377,0.18147914889790973,0.11320665095536342,0.08983585895359701,Energy,7
ett2/15T/short,tafsut,7.823975771949405,7.823975771949405,1.7441618419828868,0.7396901122980264,0.10112363955655346,0.12415440877278645,5.312315802796237,2.797137067065074,0.13279004726530289,0.08280156741773893,0.06614260605498198,Energy,7
ett2/D/short,tafsut,107346.05714285714,107346.05714285714,194.07566964285715,1.2814132897521442,0.43117535303509424,0.13258306109716023,12.013082734732526,327.6370814527213,0.18751534612820242,0.11107462625043095,0.09350795657519358,Energy,7
ett2/H/long,tafsut,226.94421296296295,226.94421296296295,9.206427744708995,1.0131151343165181,0.17808323356466785,0.1727610431650959,7.553661053446011,15.064667701710613,0.20629902955036436,0.1260749421736896,0.10171971929297352,Energy,7
